EXPENDITURE,STO,PRICES,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,INSTR_ASSET,ACTIVITY,UNIT_MEASURE,TRANSFORMATION,TIME_FORMAT,REF_YEAR_PRICE,DECIMALS,TABLE_IDENTIFIER,UNIT_MULT,COMPILING_ORG,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,1996,46209,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,1997,47416,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,1998,49402,g,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,1999,50513,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2000,50715,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2001,50205,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2002,52932,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2003,55876,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2004,57862,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2005,58886,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2006,60394,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2007,61988,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2008,62729,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2009,67255,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2010,70514,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2011,74181,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2012,77417,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2013,79858,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2014,84565,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2015,85074,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2016,89713,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2017,90715,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2018,94724,a,F
