Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
7m0,EUROFIMA (European Company for the Financing of Railroad Rolling Stock),7M0,,311,
6h0,EUTELSAT (European Telecommunications Satellite Organisation),6H0,,312,
6a50,East African Development Bank,6A50,,313,
ag2,Eastern Caribbean Central Bank (ECCB) (Antigua and Barbuda),AG2,,314,
dm2,Eastern Caribbean Central Bank (ECCB) (Dominica),DM2,,315,
gd2,Eastern Caribbean Central Bank (ECCB) (Grenada),GD2,,316,
kn2,Eastern Caribbean Central Bank (ECCB) (St. Kitts and Nevis),KN2,,317,
lc2,Eastern Caribbean Central Bank (ECCB) (St. Lucia),LC2,,318,
vc2,Eastern Caribbean Central Bank (ECCB) (St. Vincent and Grenadines),VC2,,319,
5z60,Economic Community of West African States,5Z60,,320,
kr3,"Economic Planning Board (Korea, Republic of)",KR3,,321,
4j60,Economic and Social Committee,4J60,,322,
ee1,"Estonia, State Statistical Office",EE1,,323,
i22,Euro area 12 central banks,I22,,324,
i32,Euro area 13 central banks,I32,,325,
i42,Euro area 15 central banks,I42,,326,
i52,Euro area 16 central banks,I52,,327,
i62,Euro area 17 central banks,I62,,328,
i72,Euro area 18 central banks,I72,,329,
i82,Euro area 19 central banks,I82,,330,
u22,Euro area central banks,U22,,331,
4j850,European Agency for Safety and Health at Work,4J850,,332,
4j860,European Agency for the Management of Operational Cooperation at the External Borders,4J860,,333,
4j870,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice",4J870,,334,
4j880,European Asylum Support Office,4J880,,335,
4j890,European Aviation Safety Agency,4J890,,336,
4j8100,European Centre for Disease Prevention and Control,4J8100,,337,
4j8110,European Centre for the Development of Vocational Training,4J8110,,338,
4j8120,European Chemicals Agency,4J8120,,339,
4d0,European Commission (including Eurostat),4D0,,340,
4h0,European Community of Steel and Coal deprecated,4H0,,341,
4j50,European Council,4J50,,342,
4j8130,European Data Protection Supervisor,4J8130,,343,
4j8140,European Defence Agency,4J8140,,344,
4j8150,European Environment Agency,4J8150,,345,
4j8160,European External Action Service,4J8160,,346,
4j8170,European Fisheries Control Agency,4J8170,,347,
4j8180,European Food Safety Authority,4J8180,,348,
4j8190,European Foundation for the Improvement of Living and Working Conditions,4J8190,,349,
5z70,European Free Trade Association,5Z70,,350,
4j8200,European GNSS Agency,4J8200,,351,
4j8210,European Institute for Gender Equality,4J8210,,352,
4j8220,European Institute of Innovation and Technology,4J8220,,353,
4j8230,European Maritime Safety Agency,4J8230,,354,
4j8240,European Medicines Agency,4J8240,,355,
4j8250,European Monitoring Centre for Drugs and Drug Addiction,4J8250,,356,
4j8260,European Network and Information Security Agency,4J8260,,357,
4j8270,European Ombudsman,4J8270,,358,
4j10,European Parliament,4J10,,359,
4j8280,European Personnel Selection Office,4J8280,,360,
4j8290,European Police College,4J8290,,361,
4j8300,European Police Office,4J8300,,362,
4j8310,European Public Prosecutor's Office,4J8310,,363,
4j8320,European Railway Agency,4J8320,,364,
4j8330,European School of Administration,4J8330,,365,
4j8340,European Training Foundation,4J8340,,366,
4j8350,European Union Agency for Fundamental Rights,4J8350,,367,
4j8360,European Union Institute for Security Studies,4J8360,,368,
4j8370,European Union Intellectual Property Office,4J8370,,369,
4j8380,European Union Satellite Centre,4J8380,,370,
1j0,FAO (Food and Agriculture Organisation),1J0,,371,
lv6,FCMC (Latvia Financial and Capital Market Commission),LV6,,372,
7j0,FLAR (Fondo Latino Americano de Reservas),7J0,,373,
at6,FMA (Austria Financial Market Authority),AT6,,374,
ng4,Federal Ministry of Finance (Nigeria),NG4,,375,
cs4,Federal Ministry of Finance (Serbia and Montenegro),CS4,,376,
ng1,Federal Office of Statistics (Nigeria),NG1,,377,
be40,Federal Planning Bureau,BE40,,378,
be3,Federal Public Service Finance (Belgium),BE3,,379,
us2,Federal Reserve Bank of New York (USA),US2,,380,
ru1,Federal State Statistics Service (Russian Federation),RU1,,381,
fm2,"Federal States of Micronesia Banking Board (Micronesia, Federated States of)",FM2,,382,
cs1,Federal Statistical Office (Serbia and Montenegro),CS1,,383,
jp6,Financial Services Agency (Japan),JP6,,384,
gg6,"Financial Services Commission, Guernsey (GG)",GG6,,385,
je6,"Financial Services Commission, Jersey (JE)",JE6,,386,
hk4,"Financial Services and the Treasury Bureau (Treasury) (China, P.R.: Hong Kong)",HK4,,387,
im6,"Financial Supervision Commission, Isle of Man (IM)",IM6,,388,
fi98,Finavia(Civil Aviation Administration),FI98,,389,
fi97,Finnish Maritime Administration,FI97,,390,
7k0,Fonds Belgo-Congolais d'Amortissement et de Gestion,7K0,,391,
5s0,Fonds spécial unifié de développement,5S0,,392,
4u10,Fusion for Energy,4U10,,393,
5z80,Fusion for Energy deprecated,5Z80,,394,
cn5,"General Administration of Customs (China, P.R.: Mainland)",CN5,,395,
sr1,General Bureau of Statistics (Suriname),SR1,,396,
ly4,General Directorate for Economic and Social Planning (Libya),LY4,,397,
rw1,General Office of Statistics (Rwanda),RW1,,398,
ly3,General People's Secretariat  of the Treasury (Libya),LY3,,399,
vn1,General Statistics Office (Vietnam),VN1,,400,
gh1,Ghana Statistical Service,GH1,,401,
uz1,Goskomprognozstat (Uzbekistan),UZ1,,402,
gu1,Guam Bureau of Statistics,GU1,,403,
tr3,Hazine Müstesarligi (Turkish Treasury),TR3,,404,
va2,Holy See (Vatican City State) National Central Bank,VA2,,405,
hk2,Hong Kong Monetary Authority,HK2,,406,
hu1,Hungarian Central Statistical Office,HU1,,407,
5c0,IADB (Inter-American Development Bank),5C0,,408,
1r0,IAEA (International Atomic Energy Agency),1R0,,409,
5j0,IBEC (International Bank for Economic Co-operation),5J0,,410,
6d0,ICRC (International Committee of the Red Cross),6D0,,411,
1g0,ICSID (International Centre for Settlement of Investment Disputes),1G0,,412,
7b0,IDB (Islamic Development Bank),7B0,,413,
1l0,IFAD (International Fund for Agricultural Development),1L0,,414,
1m0,IFC (International Finance Corporation),1M0,,415,
7l0,IFFIm (International finance Facility for Immunisation),7L0,,416,
de8,IFO Institut für Wirtschaftsforschung (Germany),DE8,,417,
5k0,IIB (International Investment Bank),5K0,,418,
5g0,IIC (Inter-American Investment Corporation),5G0,,419,
1s0,ILO (International Labour Organisation),1S0,,420,
1c0,IMF (International Monetary Fund),1C0,,421,
mg1,INSTAT/Exchanges Commerciaux et des Services (Madagascar),MG1,,422,
6j0,INTELSAT (International Telecommunications Satellite Organisation),6J0,,423,
6q0,IOM (International Organisation for Migration),6Q0,,424,
1t0,ITU (International Telecommunication Union),1T0,,425,
ht1,Institut Haitien de Statistique et d' Informatique (Haiti),HT1,,426,
be1,Institut National de Statistiques de Belgique,BE1,,427,
bj1,Institut National de la Statistique et de l’Analyse Economique (Benin),BJ1,,428,
fr1,Institut National de la Statistique et des Etudes Economiques - INSEE (France),FR1,,429,
gf1,"Institut National de la Statistique et des Etudes Economiques - INSEE - Service regional (Guiana, French)",GF1,,430,
gp1,Institut National de la Statistique et des Etudes Economiques - INSEE -Service regional (Guadeloupe),GP1,,431,
nc1,Institut Territorial de la Statistique et des Etudes Economiques (New Caledonia),NC1,,432,
td1,Institut de la Statistique (INSDEE) (Chad),TD1,,433,
cd1,"Institute National de la Statistique (Congo, Dem. Rep. of)",CD1,,434,
al1,Institute of Statistics (Albania),AL1,,435,
ba1,Institute of Statistics (Bosnia and Herzegovina),BA1,,436,
bo1,Instituto Nacional de Estadistica (Bolivia),BO1,,437,
gt1,Instituto Nacional de Estadistica (Guatemala),GT1,,438,
ar1,Instituto Nacional de Estadistica y Censos (Argentina),AR1,,439,
ec1,Instituto Nacional de Estadistica y Censos (Ecuador),EC1,,440,
es1,Instituto Nacional de Estadística (Spain),ES1,,441,
