Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
f4rx,Other loans,F4RX,,309,
f4a22,Other loans for consumer durables,F4A22,,310,
n1139g,Other machinery and equipment (gross),N1139G,,311,
n1139n,Other machinery and equipment (net),N1139N,,312,
n11og,Other machinery and equipment and weapons systems (gross),N11OG,,313,N11OG=N1139G+N114G
n11on,Other machinery and equipment and weapons systems (net),N11ON,,314,N11ON=N1139N+N114N
n215g,Other natural resources (gross),N215G,,315,
n215n,Other natural resources (net),N215N,,316,
n21kn,Other naturally occuRring assets (net),N21KN,,317,N21KN = N213N + N214N + N215N
n21kg,Other naturally occurring assets (gross),N21KG,,318,N21KG = N213G + N214G + N215G
f711b,Other option-type contracts,F711B,,319,
fr2,"Other reserve assets (currency, deposits, securities, financial derivatives and other claims)",FR2,,320,FR2=FR3+FR4
fr4,"Other reserve assets (financial derivatives, loans to non-banks and other)",FR4,,321,FR4=F71+F4+FR411
n1122g,Other structures (gross),N1122G,,322,
n1122n,Other structures (net),N1122N,,323,
f229,Other transferable deposits,F229,,324,
f2291,"Other transferable deposits, except overnight deposits",F2291,,325,
fcy2,Other types of one-off guarantees,FCY2,,326,
n133g,Other valuables (gross),N133G,,327,
n133n,Other valuables (net),N133N,,328,
n1222g,Other work-in-progress (gross),N1222G,,329,
n1222n,Other work-in-progress (net),N1222N,,330,
ft,"Other, mainly inter-company loans",FT,,331,
f63,Pension entitlements,F63,,332,
f63_65,Pension entitlements and entitlements to non-pension benefits,F63_65,,333,F63_65=F63+F65
f6m,"Pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits",F6M,,334,F6M=F63+F64+F65
f63b1,"Pension entitlements, defined benefit, managed by Autonomous Pension Funds",F63B1,,335,
f63b3,"Pension entitlements, defined benefit, managed by Insurers",F63B3,,336,
f63b2,"Pension entitlements, defined benefit, managed by Non-autonomous Pension Funds",F63B2,,337,
f63a1,"Pension entitlements, defined contribution, managed by Autonomous Pension Funds",F63A1,,338,
f63a3,"Pension entitlements, defined contribution, managed by Insurers",F63A3,,339,
f63a2,"Pension entitlements, defined contribution, managed by Non-autonomous Pension Funds",F63A2,,340,
f63c1,"Pension entitlements, hybrid schemes, managed by Autonomous Pension Funds",F63C1,,341,
f63c3,"Pension entitlements, hybrid schemes, managed by Insurers",F63C3,,342,
f63c2,"Pension entitlements, hybrid schemes, managed by Non-autonomous Pension Funds",F63C2,,343,
f63f,"Pension entitlements, managed by Autonomous Pension Funds",F63F,,344,F63F=F63A1+F63B1+F63C1
f63i,"Pension entitlements, managed by Insurers",F63I,,345,F63I=F63A3+F63B3+F63C3
f63h,"Pension entitlements, managed by Non-autonomous Pension Funds",F63H,,346,F63H=F63A2+F63B2+F63C2
f63b,"Pension entitlements, of which defined benefit",F63B,,347,
f63a,"Pension entitlements, of which defined contribution",F63A,,348,
f63c,"Pension entitlements, of which hybrid schemes",F63C,,349,
n223g,Permissions to undertake specific activities (gross),N223G,,350,
n223n,Permissions to undertake specific activities (net),N223N,,351,
n222g,Permissions to use natural resources (gross),N222G,,352,
n222n,Permissions to use natural resources (net),N222N,,353,
f5pn,"Portfolio investments, net",F5PN,,354,
n131g,Precious metals and stones (gross),N131G,,355,
n131n,Precious metals and stones (net),N131N,,356,
n1g,Produced non-financial assets (gross),N1G,,357,
n1n,Produced non-financial assets (net),N1N,,358,
finm,Property - real state,FINM,,359,
f66,Provisions for calls under standardized guarantees,F66,,360,
fcy1,Publicly guaranteed debt,FCY1,,361,
n23g,Purchases less sales of goodwill and marketing assets (gross),N23G,,362,
n23n,Purchases less sales of goodwill and marketing assets (net),N23N,,363,
n2151g,Radio spectra (gross),N2151G,,364,
n2151n,Radio spectra (net),N2151N,,365,
f5221,Real Estate Fund Shares,F5221,,366,
n2113g,Recreational land and associated surface water (gross),N2113G,,367,
n2113n,Recreational land and associated surface water (net),N2113N,,368,
fu,Remaining net assets of households deprecated,FU,,369,
fq,"Remaining net assets of non-financial corporations, insurance corporations and pension funds deprecated",FQ,,370,
f4r,Repo loans,F4R,,371,
f29c,Repurchase agreements,F29C,,372,
f4d,"Repurchase agreements, securities lending and margin lending insofar as recorded as loans",F4D,,373,
n1171g,Research and development (gross),N1171G,,374,
n1171n,Research and development (net),N1171N,,375,
fk,Reserve Position in the IMF,FK,,376,
fr411,"Reserve assets other than gold, SDRs, IMF reserve position, currency, deposits, securities, financial derivatives and loans (to non-banks)",FR411,,377,FR411=F6+F8
f4a1,Revolving credit,F4A1,,378,
f12,SDRs,F12,,379,
fd2,"SDRs, currency and deposits, debt securities and loans",FD2,,380,FD2=F12+F2+F3+F4
fd3,"SDRs, currency and deposits, debt securities, loans and other accounts payable",FD3,,381,FD3=F12+F2+F3+F4+F8
f12fr,"SDRs, fixed rate",F12FR,,382,
f12vr,"SDRs, variable rate",F12VR,,383,
fr1,"Securities (Equity, investment fund shares/units and debt securities)",FR1,,384,FR1=F3+F5
f3ls,Securities issued under liquidity schemes,F3LS,,385,
fr1z,Securities under repo for cash collateral,FR1Z,,386,
fr3a,"Securities, except investment fund shares; currency and deposits",FR3A,,387,FR3A=F2+F3+F51
fr3,Securities; currency and deposits,FR3,,388,FR3=F5+F3+F2
f51k,Shares,F51K,,389,F511+F512
f5op,Shares and other equity other than portfolio investments,F5OP,,390,
